idCity,name,uf,idState
4320,Saloá,PE,16
4321,Saltinho,SP,26
4322,Saltinho,SC,25
4323,Salto,SP,26
4324,Salto da Divisa,MG,12
4325,Salto de Pirapora,SP,26
4326,Salto do Céu,MT,13
4327,Salto do Itararé,PR,18
4328,Salto do Jacuí,RS,23
4329,Salto do Lontra,PR,18
4330,Salto Grande,SP,26
4331,Salto Veloso,SC,25
4332,Salvador,BA,4
4333,Salvador das Missões,RS,23
4334,Salvador do Sul,RS,23
4335,Salvaterra,PA,13
4336,Sambaíba,MA,9
4337,Sampaio,TO,26
4338,Sananduva,RS,23
4339,Sanclerlândia,GO,8
4340,Sandolândia,TO,26
4341,Sandovalina,SP,26
4342,Sangão,SC,25
4343,Sanharó,PE,16
4344,Sant'Ana do Livramento,RS,23
4345,Santa Adélia,SP,26
4346,Santa Albertina,SP,26
4347,Santa Amélia,PR,18
4348,Santa Bárbara,BA,4
4349,Santa Bárbara,MG,12
4350,Santa Bárbara d'Oeste,SP,26
4351,Santa Bárbara de Goiás,GO,8
4352,Santa Bárbara do Leste,MG,12
4353,Santa Bárbara do Monte Verde,MG,12
4354,Santa Bárbara do Pará,PA,13
4355,Santa Bárbara do Sul,RS,23
4356,Santa Bárbara do Tugúrio,MG,12
4357,Santa Branca,SP,26
4358,Santa Brígida,BA,4
4359,Santa Carmem,MT,13
4360,Santa Cecília,PB,16
4361,Santa Cecília,SC,25
4362,Santa Cecília do Pavão,PR,18
4363,Santa Cecília do Sul,RS,23
4364,Santa Clara d'Oeste,SP,26
4365,Santa Clara do Sul,RS,23
4366,Santa Cruz,RN,21
4367,Santa Cruz,PB,16
4368,Santa Cruz,PE,16
4369,Santa Cruz Cabrália,BA,4
4370,Santa Cruz da Baixa Verde,PE,16
4371,Santa Cruz da Conceição,SP,26
4372,Santa Cruz da Esperança,SP,26
4373,Santa Cruz da Vitória,BA,4
4374,Santa Cruz das Palmeiras,SP,26
4375,Santa Cruz de Goiás,GO,8
4376,Santa Cruz de Minas,MG,12
4377,Santa Cruz de Monte Castelo,PR,18
4378,Santa Cruz de Salinas,MG,12
4379,Santa Cruz do Arari,PA,13
4380,Santa Cruz do Capibaribe,PE,16
4381,Santa Cruz do Escalvado,MG,12
4382,Santa Cruz do Piauí,PI,17
4383,Santa Cruz do Rio Pardo,SP,26
4384,Santa Cruz do Sul,RS,23
4385,Santa Cruz do Xingu,MT,13
4386,Santa Cruz dos Milagres,PI,17
4387,Santa Efigênia de Minas,MG,12
4388,Santa Ernestina,SP,26
4389,Santa Fé,PR,18
4390,Santa Fé de Goiás,GO,8
4391,Santa Fé de Minas,MG,12
4392,Santa Fé do Araguaia,TO,26
4393,Santa Fé do Sul,SP,26
4394,Santa Filomena,PI,17
4395,Santa Filomena,PE,16
4396,Santa Filomena do Maranhão,MA,9
4397,Santa Gertrudes,SP,26
4398,Santa Helena,MA,9
4399,Santa Helena,PB,16
4400,Santa Helena,PR,18
4401,Santa Helena,SC,25
4402,Santa Helena de Goiás,GO,8
4403,Santa Helena de Minas,MG,12
4404,Santa Inês,MA,9
4405,Santa Inês,PB,16
4406,Santa Inês,BA,4
4407,Santa Inês,PR,18
4408,Santa Isabel,SP,26
4409,Santa Isabel,GO,8
4410,Santa Isabel do Ivaí,PR,18
4411,Santa Isabel do Rio Negro,AM,2
4412,Santa Izabel do Oeste,PR,18
4413,Santa Izabel do Pará,PA,13
4414,Santa Juliana,MG,12
4415,Santa Leopoldina,ES,7
4416,Santa Lúcia,SP,26
4417,Santa Lúcia,PR,18
4418,Santa Luz,PI,17
4419,Santa Luzia,MA,9
4420,Santa Luzia,PB,16
4421,Santa Luzia,BA,4
4422,Santa Luzia,MG,12
4423,Santa Luzia D'Oeste,RO,21
4424,Santa Luzia do Itanhy,SE,25
4425,Santa Luzia do Norte,AL,1
4426,Santa Luzia do Pará,PA,13
4427,Santa Luzia do Paruá,MA,9
4428,Santa Margarida,MG,12
4429,Santa Margarida do Sul,RS,23
4430,Santa Maria,RN,21
4431,Santa Maria,RS,23
4432,Santa Maria da Boa Vista,PE,16
4433,Santa Maria da Serra,SP,26
4434,Santa Maria da Vitória,BA,4
4435,Santa Maria das Barreiras,PA,13
4436,Santa Maria de Itabira,MG,12
4437,Santa Maria de Jetibá,ES,7
4438,Santa Maria do Cambucá,PE,16
4439,Santa Maria do Herval,RS,23
4440,Santa Maria do Oeste,PR,18
4441,Santa Maria do Pará,PA,13
4442,Santa Maria do Salto,MG,12
4443,Santa Maria do Suaçuí,MG,12
4444,Santa Maria do Tocantins,TO,26
4445,Santa Maria Madalena,RJ,21
4446,Santa Mariana,PR,18
4447,Santa Mercedes,SP,26
4448,Santa Mônica,PR,18
4449,Santa Quitéria,CE,5
4450,Santa Quitéria do Maranhão,MA,9
4451,Santa Rita,MA,9
4452,Santa Rita,PB,16
4453,Santa Rita d'Oeste,SP,26
4454,Santa Rita de Caldas,MG,12
4455,Santa Rita de Cássia,BA,4
4456,Santa Rita de Ibitipoca,MG,12
4457,Santa Rita de Jacutinga,MG,12
4458,Santa Rita de Minas,MG,12
4459,Santa Rita do Araguaia,GO,8
4460,Santa Rita do Itueto,MG,12
4461,Santa Rita do Novo Destino,GO,8
4462,Santa Rita do Pardo,MS,13
4463,Santa Rita do Passa Quatro,SP,26
4464,Santa Rita do Sapucaí,MG,12
4465,Santa Rita do Tocantins,TO,26
4466,Santa Rita do Trivelato,MT,13
4467,Santa Rosa,RS,23
4468,Santa Rosa da Serra,MG,12
4469,Santa Rosa de Goiás,GO,8
4470,Santa Rosa de Lima,SE,25
